"uid","firstname","lastname","region","departement","circonscription","profession","group","group_short"
"302913","ANTONINO","MINARDO",,,"SICILIA 2 - P03","Laurea in scienze politiche; Dirigente di azienda privata","FORZA ITALIA - BERLUSCONI PRESIDENTE - PPE (FI-PPE) (18.10.2022","FI-PPE"
"302913","ANTONINO","MINARDO",,,"SICILIA 2 - P03","Laurea in scienze politiche; Dirigente di azienda privata","MISTO (MISTO) (18.10.2022","MISTO"
"305586","MANFRED","SCHULLIAN",,,"TRENTINO-ALTO ADIGE/SÜDTIROL - P01","Laurea in giurisprudenza; Avvocato amministrativista","MISTO (MISTO) (18.10.2022","MISTO"
"305580","RENATE","GEBHARD",,,"TRENTINO-ALTO ADIGE/SÜDTIROL - P01","Laurea in giurisprudenza; Avvocata.","MISTO (MISTO) (18.10.2022","MISTO"
"305733","LUCA","PASTORINO",,,"LIGURIA - P01","Laurea in economia aziendale; Funzionario amministrativo, Sindaco del Comune di Bogliasco","MISTO (MISTO) (18.10.2022","MISTO"
"302838","MICHELA VITTORIA","BRAMBILLA",,,"SICILIA 1 - P02",,"NOI MODERATI (NOI CON L'ITALIA, CORAGGIO ITALIA, UDC E ITALIA AL CENTRO)-MAIE-CENTRO POPOLARE (NM(N-C-U-I)M-CP) (27.10.2022","NM(N-C-U-I)M-CP"
"302103","GIORGIA","MELONI",,,"ABRUZZO - P01",,"FRATELLI D'ITALIA (FDI) (18.10.2022","FDI"
"302838","MICHELA VITTORIA","BRAMBILLA",,,"SICILIA 1 - P02",,"MISTO (MISTO) (18.10.2022","MISTO"
"306521","FILIBERTO","ZARATTI","ALLEANZA VERDI E SINISTRA","proporzionale","LAZIO 1 - P01","Laurea in scienze politiche; Consulente aziendale","ALLEANZA VERDI E SINISTRA (AVS) (27.10.2022","AVS"
"306003","FRANCESCO","BONIFAZI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","TOSCANA - P03","Laurea in giurisprudenza, Master in diritto tributario; Avvocato tributarista","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"306064","GIULIO CESARE","SOTTANELLI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","ABRUZZO - P01","Laurea in scienze della comunicazione e dell'amministrazione; Agente di assicurazione","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"306005","DAVIDE","FARAONE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","SICILIA 1 - P02","Laurea in scienze politiche; Professione non rilevata","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"306160","MARIA ELENA","BOSCHI","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LAZIO 1 - P03","Laurea in giurisprudenza, Master in diritto societario; Avvocato in diritto societario","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"306379","ISABELLA","DE MONTE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","FRIULI-VENEZIA GIULIA - P01","Laurea in giurisprudenza; Dipendente pubblico","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"306382","MAURO","DEL BARBA","AZIONE - ITALIA VIVA - CALENDA","proporzionale","LOMBARDIA 4 - P01","Laurea in scienze dell'informazione","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"306158","GIUSEPPE","CASTIGLIONE","AZIONE - ITALIA VIVA - CALENDA","proporzionale","SICILIA 2 - P02","Diploma di liceo classico; Giornalista","AZIONE-POPOLARI EUROPEISTI RIFORMATORI-RENEW EUROPE (AZ-PER-RE) (18.10.2022","AZ-PER-RE"
"32460","UMBERTO","BOSSI","LEGA PER SALVINI PREMIER","proporzionale","LOMBARDIA 2 - P01","Diploma di liceo scientifico; Giornalista","LEGA - SALVINI PREMIER (LEGA) (18.10.2022","LEGA"
